text,class
 The transfer shall take place in such a manner that all data needed to perform any Fourier Transform showsup on a single processor Backend tofrom Monitor and Control Interface.,fr
The BE shall receive via MC State Count data produced by the Correlator Data Valid Counts Quantizer Power Measurement Data Filter Parameters Frequency Shift Parameters Windowing Parameters Observational Mode The BE shall receive via MC data and parameters specific to the current EVLA Observational Mode needed for processing the Correlator Lag values Metadata The BE shall receive via MC all metadata necessary to format BE results for delivery to the EE Operational Status and,fr
This includes Lag Frame destination addresses and address changes Error and Warning The BE shall provide error and warning reports to MC as operating conditions warrant DebugTest Messages The BE shall provide several optionally selectable levels of printed messages detailing operational parameters at critical locations in the system.,fr
Formatted Output The BE shall deliver formatted final results to the ee System.,fr
The BE shall produce all data needed by the ee System for archiving and further processing.,fr
The output is currently expected to be in a form compatible with AIPS Measurement Sets.,fr
 Monitor and Control System The BE shall acknowledge receipt of all data received from MC Correlator System The BE shall notify MC of any detected interruptions of data delivery from the Correlator ee The BE shall verify successful delivery of output to the ee Internal Data The BE shall guarantee safe delivery of all internal messages Lag Frames The BE shall be able to handle lag frames of less than values Lag Sets The BE shall be able to handle lag sets up to a maximum size of value,fr
Data Receive The BE shall receive incoming data packets from the Correlator to Backend network interface.,fr
This network is a part of the BE System Verify Receive The BE shall verify the successful receipt of incoming data from the Correlator.,fr
This includes checking for receive errors and determining that all expected data was received accumulation of error statistics and comparison against tolerances and reporting of all out of tolerance conditions Input Data Management The BE shall store input data records in a memory buffer and track buffer locations of all input data until data processing is complete.,fr
Report any buffer overflow conditions Processing Management The BE shall respond to incoming correlator mode changes user optional processing sequence andor parameter changes and other external inputs that affect the data processing pipeline.,fr
Update internal parameter tables and synchronize data processing pipeline EVLA Operations System SRS with new operational conditions Time Series Assembly The BE shall assemble the received input data into continuous time series lag sets Data Integrity Verification The BE shall ensure that time series data is correctly ordered and contains valid data values along its entire extent.,fr
Compare against tolerances and report all out of tolerance conditions Data Invalid The BE shall replace all invalid data with zero values Data Invalid Count The BE shall keep track of data invalids Normalization The BE shall be able to apply normalizations based on reported data invalid counts Coarse Quantization Correction The BE shall be able to apply corrections based on state count andor quantizer power measurement data.,fr
This is the VanVleck correction Time Stamp Adjustment The BE shall be able to make time stamp adjustments as required by the observational mode and correlator output parameters.,fr
This arise when recirculation is used Windowing The BE shall be able to perform windowing operations prior and subsequent to Fourier Transform.,fr
This will be needed for narrow band RFI mitigation.,fr
Post Fourier Transform windowing will be applied as a convolution Time Domain Processing The BE shall be able to apply user selected time domain processes.,fr
These processes should be constructed to be chainable output of any time domain process can be piped to input of any other including replica of self and Fourier Transform and repeatable in the chain.,fr
No Optional time domain processes have as yet been proposed Fourier Transform Processing The BE shall be able to perform Fourier Transform the lag set time series.,fr
A poweroftwo complextocomplex Fast Fourier Transform with retention of all output positive and negative frequencies will be used.,fr
This process must be able to accept as input the output of any of the time domain processes Frequency Domain Processing The BE shall be able to apply user selected frequency domain processes.,fr
These processes should be constructed to be chainable output of Fourier Transform and any frequency domain process can be piped to input of any frequency domain process including replica of self and repeatable in the chain.,fr
No frequency domain processes have as yet been proposed Integration The BE shall be able to sum the frequency domain spectral results.,fr
The amount time duration of summation will be controlled by an observational mode parameter obtained via MC.,fr
The BE shall keep track of the number of samplesdumps integrated in each spectral channel.,fr
The summation will occur after all optional frequency domain processing or if none after the Fourier Transform.,fr
Integration for long periods of time is what will throttle the output of the Correlator to a rate manageable by the EE Output Formatting The BE shall combine the finished spectra with meta and auxiliary data to form suitably formatted output data sets.,fr
AIPS Measurement Sets are the expected entities Output Data Management The BE shall store formatted output data records in a memory buffer with backup disk buffering.,fr
Store data ready for transmission to the ee System until successful transfer has occurred.,fr
Report any errors and buffer overflow conditions that occur Data Send The BE shall send output data to the ee System Send Verify The BE shall verify that all sent data was successfully received.,fr
Report all errors Monitor IO Performance The BE shall monitor data transfer rates from EVLA Operations System SRS the Correlator and to the ee.,fr
Accumulate data transfer statistics and compare against tolerances.,fr
Report all out of tolerance conditions Monitor Compute Performance The BE shall monitor the overall data processing rate.,fr
Compare against tolerances and report all out of tolerance conditions Monitor Compute Errors The BE shall trap flag and repair infs NaNs underflows overflows and other computation errors.,fr
Accumulate computation error statistics and compare against tolerances.,fr
Report all out of tolerance conditions Monitor Processes The BE shall periodically or upon request check PIDs and assure that all started tasks are alive and running.,fr
Report missing stopped defunct and other damaged processes Monitor Processors The BE shall periodically or upon request check Backend physical processors and assure that all needed processors are alive and responding.,fr
Report all crashed stopped or unresponsive processors Monitor Networks The BE shall periodically or upon request check all Backend internal networks and assure that all communication connections are intact and functioning.,fr
Report all nonfunctioning components Start Process The BE shall be able to initiate a processing task on any Backend processor Stop Process The BE shall be able to signal a kill for any Backend process Alter Priority The BE shall be able to alter the priority of any of the BE tasks Reboot Processor The BE shall be able to initiate a reboot of any Backend a physical processor Reboot network The BE shall be able to initiate a reboot of any internal network Offload The BE shall be able to redistribute,fr
This involve change of destination IP addresses for the Correlator network General BE processes shall not violate archive data requirements.,fr
All processes shall be reversible the raw unconverted input always being recoverable from the output Data Construct Specifications Req.,fr
Input Data Queue a memory buffer of lag frames.,fr
Data entry status queue to track each record in the buffer.,fr
The lag frames will contain all information necessary to properly assemble complete lag sets Output Data Queue a memory buffer plus backup disk storage of all processed spectra.,fr
These will be converted to output AIPS Measurement Set entities prior to transfer to the ee.,fr
Data entry status queue to track each record in the buffer Processing Parameters names positions in sequence and adjustable parameters for all fixed and user selectable processing pipeline applications Processing flags a table of flags needed to identify various internal conditions relating to error response and processing state.,fr
EVLA Operations System SRS Metadata All internally and externally generated data about the processed time series and spectra including invalid data flags processes applied coordinates etc Error Report error number translatable into text error message error source error rates as applicable and time stamp Warning Report warning number translatable into text warning message warning source warning rates as applicable and time stamp Failure Report internal system component e.g.,fr
disk drive processors processes and networks failure number translatable into text error message and time stamp Recovery Report internal system component process processor network recovery action result Status Report internal system component process processor network functional state.,fr
Performance Requirements Data Integrity the Backend System shall maintain input data fidelity and dynamic range across all processing manipulation and IO functions Error Handling the system shall be capable of flagging and king corrupted data segments and proceeding without interruption or effect on other data.,fr
This includes but is not limited to partial data zero data underflows overflows infinities and NaNs whether obtained on input or arising during processing Hardware Req.,fr
Input The BE System shall be capable of accepting an aggregate data input stream from the Correlator of a minimum of.,fr
This must be done simultaneously with the output stream but not necessarily over the same interconnects.,fr
This is an initial deployment specification and will be increased over time Output The BE System shall be capable of delivering an output data stream to the ee System of a minimum of MBytessec.,fr
This includes resends and simultaneous transfer of data stored due to a previous ee connection outage.,fr
This must be done simultaneously with the output stream but not necessarily over the same interconnects.,fr
This is an initial deployment specification and will be increased over time CPU The total processor capability of the BE System shall be combination of numbers of processors and individual processor speed sufficient to accomplish all processing tasks while avoiding loss or delay on the input and output data streams Memory The BE System shall have sufficient amount TBD memory with sufficient rate TBD access speeds to accomplish all processing tasks while avoiding loss or delay on the input and output dat,fr
Availability of source code for the OS will be very important.,fr
Autocorrection the Backend System shall be selfmonitoring.,nfr
It will be capable of detecting reporting on and automatically taking action to remedy or lessen the impact of at a minimum the following types of abnormal conditions processor hardware failure operating system hangs or crashes computational performance below minimum specifications computational error rates above maximum specification internal communications failures and external with the Correlator and EE communications disruptions Software the software part of the system shall be able to perform withou,nfr
The system will cache a predetermined amount TBD of correlator data after the first encounter of unavailable critical data and complete all requested operations on cached data once the unavailable critical data is obtained Standby Mode the system shall be able to sit at idle and resume operations with minimal amount TBD delay Hardware Accessibility all system processing and interconnect hardware shall be readily accessible for maintenance repair replacement andor reconfiguration Software Accessibility,nfr
EVLA Operations System SRS.,nfr
Security The Backend System needs a robust security mechanism in place so that unauthorized users are not allowed access.,nfr
Authorized users are expected to be restricted to software and hardware development testing maintenance and operations personnel.,nfr
All users of the Backend System must be uniquely identified.,nfr
